Measurement,Azimuth,Elevation,Frequency,Magnitude
7,0.0,30.0,5015.625,-1.7614516709085661
7,0.0,30.0,6562.5,-6.997888439384084
7,0.0,30.0,6843.75,-11.82538745514433
7,0.0,30.0,7359.375,-9.696810902229121
7,0.0,30.0,7546.875,-16.17127066168366
7,0.0,30.0,7781.25,-18.75977353052762
7,0.0,30.0,8437.5,-16.40590011200776
7,0.0,30.0,8859.375,-22.696950898249145
7,0.0,30.0,9000.0,-20.408285583490596
7,0.0,30.0,9187.5,-19.815718206081346
7,0.0,30.0,9562.5,-19.719073824855453
7,0.0,30.0,9796.875,-13.589072187866758
7,0.0,30.0,10875.0,-3.485689830857734
7,0.0,30.0,11531.25,-2.7083337702171004
7,0.0,30.0,12562.5,-11.48705098950426
7,0.0,30.0,13218.75,-10.918958479239011
7,0.0,30.0,13968.75,-17.76668640955641
7,0.0,30.0,14203.125,-14.8116042368311
7,0.0,30.0,14859.375,-9.120455471920733
7,0.0,30.0,16593.75,-12.794485503140152
7,0.0,30.0,17343.75,-18.96060160300395
7,0.0,30.0,18281.25,-28.870486883411775
7,0.0,30.0,18750.0,-27.33359468360933
7,0.0,30.0,18937.5,-29.735119068408856
7,0.0,30.0,19359.375,-34.46671928495737
7,0.0,30.0,19828.125,-33.286778586165795
7,0.0,30.0,19968.75,-39.35495702469669
8,0.0,45.0,0.0,-22.759447313165175
8,0.0,45.0,93.75,-17.726976786170518
8,0.0,45.0,234.375,-12.117396316169089
8,0.0,45.0,468.75,-13.167254977537489
8,0.0,45.0,984.375,-11.038502933219048
8,0.0,45.0,1734.375,-10.74746866494232
8,0.0,45.0,2390.625,-6.9157813413544424
8,0.0,45.0,2625.0,-7.519943116609961
8,0.0,45.0,3468.75,-2.468198068986427
8,0.0,45.0,4171.875,-1.4580759024459047
8,0.0,45.0,5062.5,-2.2975667991445583
8,0.0,45.0,6421.875,-6.385572644063103
8,0.0,45.0,7031.25,-9.211916319696792
8,0.0,45.0,7125.0,-8.511469446869748
8,0.0,45.0,7453.125,-13.949176659070153
8,0.0,45.0,7781.25,-10.546341044578815
8,0.0,45.0,8156.25,-17.54826025492669
8,0.0,45.0,8578.125,-14.227668851352655
8,0.0,45.0,9609.375,-17.10212727683224
8,0.0,45.0,9703.125,-16.76778280231771
8,0.0,45.0,10687.5,-4.388847124840872
8,0.0,45.0,11531.25,-1.5160403141162184
8,0.0,45.0,12515.625,-7.9034171978375936
8,0.0,45.0,12984.375,-6.401392367965545
8,0.0,45.0,14250.0,-14.601744264403807
8,0.0,45.0,14906.25,-10.22466712714541
8,0.0,45.0,15890.625,-14.099915895110895
8,0.0,45.0,16312.5,-11.927917056837861
8,0.0,45.0,17109.375,-15.602401718089126
8,0.0,45.0,17859.375,-21.59172453081837
8,0.0,45.0,18234.375,-34.63432875500829
8,0.0,45.0,18375.0,-30.15526688063615
8,0.0,45.0,18515.625,-28.484523580778113
8,0.0,45.0,18843.75,-33.21707865420535
8,0.0,45.0,18984.375,-41.57365112584428
8,0.0,45.0,19078.125,-35.35145275182236
8,0.0,45.0,19218.75,-29.778322661866675
8,0.0,45.0,19453.125,-31.530587241023767
8,0.0,45.0,19734.375,-28.71403570626055
8,0.0,45.0,19875.0,-32.10388893361773
8,0.0,45.0,19968.75,-38.893119271021995
9,0.0,60.0,0.0,-22.060759804526175
9,0.0,60.0,93.75,-17.310913528771092
9,0.0,60.0,234.375,-12.002862063563352
9,0.0,60.0,656.25,-14.030499443878
9,0.0,60.0,1031.25,-11.089030240402737
9,0.0,60.0,1875.0,-11.427194525941953
9,0.0,60.0,1968.75,-9.420772896467327
9,0.0,60.0,2765.625,-7.970489390784927
9,0.0,60.0,3046.875,-4.918718239355593
9,0.0,60.0,4359.375,-2.4331076334226664
9,0.0,60.0,4875.0,-2.976434208490229
9,0.0,60.0,5718.75,-5.554691896934149
9,0.0,60.0,7593.75,-9.70344485365803
9,0.0,60.0,7921.875,-13.103696443287548
9,0.0,60.0,8531.25,-13.687061627032437
9,0.0,60.0,10312.5,-11.461029596027766
9,0.0,60.0,11062.5,-5.27812774709541
9,0.0,60.0,11718.75,-3.99910697081479
9,0.0,60.0,12421.875,-7.047865746839005
9,0.0,60.0,13265.625,-7.5731931770093865
9,0.0,60.0,14015.625,-14.011346095763463
9,0.0,60.0,14718.75,-10.74920371920958
9,0.0,60.0,15890.625,-15.313913818688855
9,0.0,60.0,16640.625,-15.38866113752236
9,0.0,60.0,18234.375,-24.203278413190297
9,0.0,60.0,18375.0,-25.517307796801052
9,0.0,60.0,18984.375,-26.712465344030505
9,0.0,60.0,19078.125,-28.969481238926637
9,0.0,60.0,19546.875,-31.410959113551833
9,0.0,60.0,19828.125,-33.98933659328184
9,0.0,60.0,19968.75,-38.51277862433635
10,0.0,75.0,0.0,-22.503774024464768
10,0.0,75.0,93.75,-17.818686597398386
10,0.0,75.0,234.375,-12.26672394337242
10,0.0,75.0,468.75,-13.516836139064946
10,0.0,75.0,1218.75,-11.462077267713253
10,0.0,75.0,1593.75,-12.78336588883527
10,0.0,75.0,3187.5,-6.283027050342078
10,0.0,75.0,4265.625,-3.2799398925886964
10,0.0,75.0,6796.875,-9.776225796809845
10,0.0,75.0,7078.125,-9.119794411644252
10,0.0,75.0,8390.625,-13.557104852129447
10,0.0,75.0,9750.0,-11.703996865569309
10,0.0,75.0,11437.5,-8.035618612057865
10,0.0,75.0,13453.125,-10.509359630737418
10,0.0,75.0,14015.625,-15.096889997229779
10,0.0,75.0,14625.0,-13.13022737852865
10,0.0,75.0,15187.5,-14.341805283013837
10,0.0,75.0,15656.25,-18.3894245397054
10,0.0,75.0,17015.625,-19.348470135038408
10,0.0,75.0,17531.25,-22.142502076988364
10,0.0,75.0,17578.125,-21.794251676954712
10,0.0,75.0,18656.25,-27.004794994586472
10,0.0,75.0,19734.375,-28.818776877405718
10,0.0,75.0,19875.0,-33.30185717925554
10,0.0,75.0,19968.75,-41.01875867921087
11,0.0,90.0,0.0,-22.610154448120785
11,0.0,90.0,93.75,-17.89571138195462
11,0.0,90.0,234.375,-12.327507732638761
11,0.0,90.0,468.75,-13.226238209497975
11,0.0,90.0,1453.125,-12.226233801679184
11,0.0,90.0,1734.375,-13.2117380655174
11,0.0,90.0,2484.375,-9.922454605411529
11,0.0,90.0,3890.625,-5.542811282044106
11,0.0,90.0,6281.25,-10.373447185471264
11,0.0,90.0,7406.25,-10.530174710251172
11,0.0,90.0,7828.125,-13.622240394088255
11,0.0,90.0,8718.75,-15.507123812135495
11,0.0,90.0,10640.625,-10.343207896767911
11,0.0,90.0,12000.0,-11.6696676408175
11,0.0,90.0,13312.5,-13.079354616109741
11,0.0,90.0,13968.75,-17.794509757447596
11,0.0,90.0,15000.0,-16.343818884530418
11,0.0,90.0,15703.125,-21.00458113308342
11,0.0,90.0,16500.0,-20.753928061512003
11,0.0,90.0,18562.5,-27.574938490768414
11,0.0,90.0,19453.125,-36.53966619917884
11,0.0,90.0,19734.375,-34.80026824241667
11,0.0,90.0,19875.0,-37.64850344215337
11,0.0,90.0,19968.75,-43.811979753035786
12,180.0,75.0,0.0,-21.666169420352816
12,180.0,75.0,93.75,-16.83632539376013
12,180.0,75.0,234.375,-12.317586374791567
12,180.0,75.0,515.625,-13.105862320642045
12,180.0,75.0,1921.875,-12.933414155969922
12,180.0,75.0,2906.25,-8.617487737738577
12,180.0,75.0,4125.0,-6.652621095171571
12,180.0,75.0,6140.625,-11.31698682727126
12,180.0,75.0,6468.75,-11.220813968916696
12,180.0,75.0,7687.5,-12.390332897020386
12,180.0,75.0,8390.625,-18.121416678148183
12,180.0,75.0,11203.125,-8.95055220389054
12,180.0,75.0,11859.375,-13.910185496066873
12,180.0,75.0,13500.0,-17.828005395926887
12,180.0,75.0,14156.25,-21.497393307970857
12,180.0,75.0,15046.875,-18.060585915900184
12,180.0,75.0,15609.375,-20.783062584620637
12,180.0,75.0,17015.625,-22.966973804277014
12,180.0,75.0,19500.0,-36.57655457239954
12,180.0,75.0,19734.375,-34.384690069382934
12,180.0,75.0,19875.0,-38.21372331267894
12,180.0,75.0,19968.75,-45.42113729978038
13,180.0,60.0,0.0,-21.793479080309247
13,180.0,60.0,93.75,-17.021776814770607
13,180.0,60.0,234.375,-12.485174463979785
13,180.0,60.0,890.625,-13.466780315934514
13,180.0,60.0,2859.375,-11.195389599081894
13,180.0,60.0,3234.375,-7.241641422959136
13,180.0,60.0,4500.0,-6.278942385242071
13,180.0,60.0,5296.875,-8.734290524192824
13,180.0,60.0,7781.25,-13.348045896745159
13,180.0,60.0,8203.125,-20.645790901414546
13,180.0,60.0,10078.125,-14.453791183891061
13,180.0,60.0,11156.25,-9.462933877106087
